真实值,预测值
29.243498,32.24135
27.297878,29.221481
29.801783,29.700092
18.91099,35.9308
13.215088,14.16238
10.822549,14.602184
20.177864,13.525643
18.234543,31.472626
11.661041,19.597416
13.884858,12.440899
12.235472,21.507387
15.671607,15.294006
16.837683,24.16957
13.98438,23.359064
16.996094,18.794197
16.812845,26.421183
14.17873,21.976007
9.844152,18.30926
14.685192,12.512891
35.08253,20.120726
44.54776,50.0043
38.193356,49.610443
20.804062,37.62744
18.778034,15.882953
13.532894,21.486315
2.93706,12.335746
2.227313,1.6036277
1.632679,7.1908503
1.242415,4.4572716
4.450633,4.82155
5.2587733,9.788403
2.310354,8.000666
1.292127,3.9542208
1.226599,5.1778646
0.86306703,6.1656437
0.79166204,6.1790094
2.32127,7.197122
3.145447,9.298496
1.141589,9.197461
0.743926,5.2992945
0.739347,5.158483
0.744827,4.694524
0.731041,5.1376143
0.74438006,5.664913
0.875527,6.476377
1.57164,6.4337277
1.15403,6.8728156
1.242276,6.3343663
0.929404,7.313735
0.88222194,6.307292
0.857481,6.2093973
0.84209204,5.9827476
0.79612905,5.70605
0.75749904,8.634546
0.883676,8.588641
0.779052,8.797598
0.77822,8.91006
0.778289,7.4179754
0.781606,8.387709
0.79143095,8.4492035
0.885483,8.358175
3.537929,10.150802
22.472456,14.30245
51.40153,48.829216
79.948555,73.623
102.07297,100.32728
129.01428,110.8143
145.87088,132.5531
151.32672,147.75467
103.89961,147.33328
82.16863,68.7286
66.77634,68.64968
63.63968,56.25447
61.081673,60.281708
61.494427,61.636684
74.32504,60.25113
90.018166,80.20087
114.00233,96.04614
109.75357,123.0352
104.6147,102.65336
77.028244,101.23256
83.887115,55.58404
91.2079,89.10773
80.1212,94.038864
75.28682,69.56119
69.334724,71.43465
65.330666,61.606808
59.967987,60.504982
52.818844,54.337288
46.996643,47.56484
40.306557,44.171555
36.597713,35.660694
31.537964,34.53628
23.544556,27.869852
17.213467,18.797325
17.207981,14.279963
17.198961,19.66282
16.282051,19.372028
16.64545,17.648418
14.677804,19.305248
10.94564,15.069063
10.100672,10.565548
9.395349,12.335561
8.352462,10.861881
8.798081,10.574042
13.748462,11.562104
19.796425,19.552685
24.085302,26.777618
31.657879,29.046417
40.442043,38.865757
52.65691,48.94845
61.881702,63.042168
57.69892,68.833626
66.88932,54.09108
80.09519,74.97915
105.73722,85.58682
119.46443,119.60915
119.24031,122.57352
118.82983,114.61533
128.89827,114.526215
111.258934,130.04723
88.527534,94.58167
85.56126,73.6024
78.637566,83.580666
58.85583,71.05265
57.488903,45.49482
50.361706,59.600616
53.213215,42.891342
53.122284,55.963757
56.775143,51.425854
56.58797,60.275856
56.697933,53.874653
65.126976,55.15633
69.26914,72.011345
62.69123,69.69115
67.61698,56.848576
73.78652,71.56586
74.96811,76.62442
86.04685,74.46506
87.68731,92.98061
88.74764,85.04562
98.727325,87.56348
116.26729,104.040085
123.85719,124.60635
118.6721,124.87037
125.10754,113.78424
130.59264,128.63628
109.331245,130.16733
86.095375,93.228905
69.84881,70.993454
64.02614,58.564888
70.91462,60.391327
68.581696,75.42459
71.57485,64.25573
87.82471,73.55194
79.047485,96.74792
83.54431,67.85478
92.09595,87.61285
101.86664,95.92407
87.15581,106.5812
78.432434,72.62395
64.617424,73.10124
74.06471,54.27352
89.50614,80.69426
99.04466,99.26626
95.965195,102.50092
67.78625,91.34653
45.237926,45.554043
62.01766,31.428274
66.479256,76.868324
51.89819,67.41901
45.867046,42.412163
57.501682,43.105568
62.504543,66.13333
47.353928,62.763443
36.102547,36.174957
40.756767,30.182178
50.550983,46.439186
49.534298,55.93983
49.768642,48.544415
37.457157,52.755264
28.55266,29.630718
24.05771,24.844778
20.857647,22.701391
13.632193,20.291039
14.876792,12.239075
16.33206,19.535435
22.42293,19.650612
21.558355,28.735867
19.489683,21.72332
21.776909,20.458422
18.532799,25.972946
15.07035,18.756481
15.86076,16.340395
21.124401,20.58239
26.66522,28.268145
25.15545,33.89002
21.50267,26.592447
24.627853,22.425095
34.30408,30.494835
47.560127,43.301384
61.463055,59.332462
61.856133,71.89123
53.408417,62.83548
47.611416,49.138184
37.206924,45.01356
29.393251,32.400585
27.398947,28.448757
23.846817,29.73547
28.121862,25.173925
32.2013,36.970196
38.582157,37.285034
34.100433,46.427254
33.430912,31.324846
27.724731,36.759594
20.624882,26.216412
25.82034,18.579578
26.425117,35.0052
25.332972,29.132263
14.853125,29.297478
10.217464,11.805738
4.4260798,11.279073
5.490882,4.299406
8.462036,11.170839
9.430883,14.372314
5.8669314,14.035414
4.541903,7.1641145
2.846254,8.375246
3.231408,5.457062
7.3146977,8.9470415
11.9560795,16.547913
15.313266,21.477282
26.808678,18.539444
27.943903,45.949123
29.16196,29.204397
21.259045,34.310394
22.898054,20.323292
23.669968,29.40697
19.256561,29.822598
12.285804,18.771975
9.549283,12.251372
17.992493,12.179255
20.991915,29.32109
40.839867,26.386112
50.400536,63.917
48.29716,57.33424
36.127506,47.889416
22.682415,30.113358
13.896748,17.65742
22.157969,13.416729
37.090065,33.109734
35.493168,50.769436
30.390535,37.28129
37.57821,30.037476
37.64982,44.370167
40.092472,37.733517
18.450981,42.665596
32.88422,4.5513754
64.60039,51.964184
61.382477,89.75096
41.69071,54.543407
49.353348,30.45279
66.73763,55.876877
59.276768,77.222015
74.30954,48.368504
71.17893,89.12099
81.31799,62.856064
95.29151,86.00683
88.63468,100.4946
88.697586,79.22796
93.75444,86.24545
80.036415,93.015755
82.79014,67.79884
106.943565,84.57706
124.293816,119.17363
121.98227,128.4772
110.680336,114.50005
103.39912,100.956604
111.269485,94.91623
102.88822,114.021164
85.937614,92.30531
73.45104,73.73645
58.415794,63.78145
48.864193,47.245823
47.813374,42.926376
38.55315,47.770912
31.498758,31.932297
32.24326,29.461458
40.103172,35.107132
34.217575,47.89869
29.344687,30.315964
25.850582,29.008472
18.173595,26.037514
20.551485,15.192776
20.725525,26.224085
16.333466,22.924612
11.685499,16.478266
17.12447,12.676733
15.398059,24.423828
20.684149,16.440107
25.314642,28.264961
37.9265,31.424349
37.369457,50.154224
39.52425,38.686707
37.775185,44.20351
30.078508,39.316536
37.41055,28.071064
28.43302,47.880543
29.020685,23.98993
24.125317,34.846188
15.617618,23.208889
14.488541,12.623415
14.425212,18.066845
12.15172,17.062218
13.058859,15.02564
12.600831,17.579786
13.162131,15.443623
12.9136305,16.889296
15.827719,16.487343
22.585659,22.653616
25.90967,30.389198
29.71808,31.008799
43.620552,35.02611
58.972034,55.138695
72.56323,71.36666
85.92949,81.38131
100.653336,93.81012
100.80249,108.37756
91.11799,95.936195
81.93291,81.952065
68.266464,74.49189
57.07403,57.03942
54.91773,50.444275
46.68475,54.62108
38.284184,42.067207
32.138073,35.43341
31.02866,30.950788
38.545006,32.172726
46.5623,47.10341
47.666546,54.461536
43.138165,48.595512
35.014282,40.82081
39.02642,29.007568
34.123688,44.869366
28.730015,29.728539
25.320547,27.697832
19.058702,25.835577
12.53828,16.598557
6.8949733,10.870531
2.992722,6.9113297
1.3748729,4.0331955
1.128037,4.7574964
